# 固定題材集合の判定記録。対象文書 plugins/adr/skills/manage-adr/references/adr-scoping.md。実行日 2026-07-29。
# 対象文書と題材集合の commit は行ごとに異なりうるため、注記では主張せず 13列目・14列目で持つ（下記）。
# 担い手: 題材1件につき1つの汎用サブエージェント。試行ごとに新規コンテキストで起動し、前試行の判定・記録・他題材の判定を引き継がせていない。
# この2試行が測っているのは同一入力に対する判定の再現性であり、隣接題材の文脈効果は測っていない。題材は1件ずつ渡しており、判定側の入力に他の題材は現れない。
# 判定側が能動的に開いた入力は、adr-scoping-cases.sh prompt が組み立てたプロンプトファイルと対象文書のみ。破棄した試行は無い。
# ただし再実行3巡目の42行の多くは、実行基盤（Claude Code）がサブエージェント起動時に CLAUDE.md 等を自動注入したことを判定側が申告している。判定側の操作ではないため破棄していない（README §7.1）。申告の無い行についても、同じ実行基盤を使っている以上、自動注入が起きていなかったことの証拠にはならない。詳細は 2026-07-29-report.md の「入力の限定に関する限界」を見ること。
# 行き先列は、判定側が散文で返した分岐名を expectations.tsv と同じ4値の語彙（ADR化する / ADR化しない/実装・テスト資産・操作手順 / ADR化しない/共有規約文書 / ADR化しない/PR説明）へ写像した値である。判定側が3分岐のどれかを特定しなかった場合は ADR化しない/分岐未特定 と記す。
# 根拠_項目N 列・行き先列は、判定側の返却を人手で圧縮・写像した派生物である。再実行3巡目の42行のみ返却全文を 2026-07-29-raw-returns.md に保持しており、符号化の妥当性を原文へ突き合わせて確かめられる。他の6行（CASE-01・CASE-02・CASE-17）は返却全文を保持していないため、この突き合わせができない。
# 再実行1巡目: CASE-02・CASE-13・CASE-17〜20 の6題材。セルフレビューの指摘（題材文が条件3 の判定述語を言い換えて含んでいた／命名規約表の特徴列の文言を写していた）を受けて当該記述を落とし再実行した。
# 再実行2巡目: CASE-05・CASE-13・CASE-17〜20 の6題材。PR #616 のレビュー指摘（条件3 の述語の言い換えが残っていた）を受けて当該記述を落とし再実行した。
# 再実行3巡目: CASE-03〜16・CASE-18〜24 の21題材。PR #616 の再レビュー指摘（条件3 の否定形『1本に書き切れる』が16題材に、第2連言の言い換えが CASE-05 に、仮定法の枠組みが CASE-13/18/19/20 に残っていた）を受けて当該記述を落とし再実行した。本ファイルの当該42行はその判定である。
# 題材集合commit 列は、その行の判定が見た cases.md の commit である。c4dc2cf=初回の通し、61fee70=再実行1巡目、439f673=再実行2巡目、1a59a13=再実行3巡目。
# 題材集合commit の 1a59a13 は、再実行3巡目が見た cases.md を含むコミットである。本ファイル自身はその追随コミットで更新している（--amend で埋めるとハッシュが変わって値が古くなるため）。
# 置き忘れは report が検出する（「commit 列の未確定」節で題材・試行・列名を名指しし、exit 1 を返す）。
# 本ファイル先頭の # 行は TSV パーサが解釈しない注記である。機械処理する場合は読み飛ばす。
題材ID	試行番号	項目1	項目2	項目3	項目4	行き先	根拠_項目1	根拠_項目2	根拠_項目3	根拠_項目4	参照ファイル一覧	対象文書commit	題材集合commit
CASE-01	1	1	1	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは5本で3本以上	影響が3単位・別選択の箇所も2つ	保持先が実装本体とフックで値域(A)。段1で確定	検出がコミットを止める	プロンプトファイル,adr-scoping.md	7a5d93d	c4dc2cf
CASE-01	2	1	1	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは5本で3本以上	影響が3単位・別選択の箇所も2つ	保持先が実装本体とフックで値域(A)。段1で確定	検出がコミットを止める	プロンプトファイル,adr-scoping.md	7a5d93d	c4dc2cf
CASE-02	1	0	1	0	1	ADR化しない/実装・テスト資産・操作手順	直すのは規約文書1本のみ	全モジュール・全成果物種別へ一様	採用理由が同じ節に併記され値域(B)。段1で確定	formatter が未実装	プロンプトファイル,adr-scoping.md	7a5d93d	61fee70
CASE-02	2	0	1	0	1	ADR化しない/実装・テスト資産・操作手順	直すのは規約文書1本のみ	全モジュール・全成果物種別へ一様	採用理由が同じ節に併記され値域(B)。段1で確定	formatter が未実装	プロンプトファイル,adr-scoping.md	7a5d93d	61fee70
CASE-03	1	0	1	0	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみ。既存コミットは書き換え不要で数えない。非本数条件のORも不成立	影響が全成果物種別へ一様適用で2つ以上に当たる。別言語を選びうる箇所も現に複数でORも成立	段2で0点確定。段1は散文のみで(A)不成立・採用理由未記載で(B)不成立。却下理由が採用理由と同一、犠牲無し、規範は1資産に収まる	言語を機械的に検出する検査が現に無く英語でも作業が止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-03	2	0	1	0	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみで2本以下。非本数条件4つのいずれにも当たらない	影響が全成果物種別へ一様適用。別言語を選びうる箇所が現に複数ありORも併せて成立	段2（同居判定）で確定。値域を満たす保持先が無く、条件1〜3いずれも不成立で0点	検査が現に無く英語でも止まらない。「検査が無い」に該当	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-04	1	1	1	1	1	ADR化する	反転で修正が要る追跡下ファイルが規約1本＋実装2本の計3本で3本以上	影響が2実装モジュール。別選択の箇所も現に2つでORも成立	段2で確定。段1は(A)(B)とも不成立。却下理由が候補ごとに異なり採用理由と別に要るため条件1該当	別ライブラリ使用の検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入),MEMORY.md(自動注入)	7a5d93d	1a59a13
CASE-04	2	1	1	1	1	ADR化する	反転で修正が要る追跡下ファイルが計3本で「3本以上で1点」。非本数条件はいずれも無し	影響が実装モジュール2つ。別選択の箇所が現に2つあるOR条件にも該当	段2（同居判定）で確定。採用理由と別の却下理由が候補ごとに3つ現に述べられ条件1該当	別ライブラリ使用を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-05	1	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは2本の文書だけで3本未満。非本数条件のORも成立しない	影響が1スキル定義のみ。別選択の箇所も現に1つでOR不成立。作業者が複数居ることは数える単位でない	段1で(B)だが採用理由が両文書とも未記載で値域外。段2で条件1・2とも不成立、2本は互いを参照し合い条件3も不成立	本文埋め込みを機械的に検出する検査が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入),MEMORY.md(自動注入)	7a5d93d	1a59a13
CASE-05	2	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは2本のみで本数条件を満たさず、非本数条件のORも不成立	影響が1スキル定義のみ。別選択の箇所も現に1箇所でOR不成立	段1で(A)(B)とも値域を満たさず段2へ。2本は互いを参照し合いいずれか1つの傍らに理由を置けるため条件3不該当で0点確定	埋め込みを機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-06	1	0	0	0	1	ADR化しない/実装・テスト資産・操作手順	反転で直すのはスクリプト1本のみで3本未満。非本数条件のORも不成立	影響がスクリプト1つのみ。別選択の箇所も現に1本だけでOR不成立	段1（値域）で確定。lint スクリプトが値域(A)に当たり、採用理由の記載も強制の稼働も問わず0点	検出は現にあるが警告どまりでコミットもCIも止めない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入),MEMORY.md(自動注入)	7a5d93d	1a59a13
CASE-06	2	0	0	0	1	ADR化しない/実装・テスト資産・操作手順	反転で直すのはスクリプト1本のみで2本以下。非本数OR条件も不成立	影響がスクリプト1つ。別選択の箇所も現に1本のみ。作業者も1人	段1で確定。lint スクリプトが値域(A)を満たし同居判定へ進まない	検査は存在するが警告出力に留まり作業を阻止しない	プロンプトファイル,adr-scoping.md,~/.claude/CLAUDE.md(自動注入),CLAUDE.md(自動注入),MEMORY.md(自動注入)	7a5d93d	1a59a13
CASE-07	1	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみで3本未満。非本数条件のORも立たない	影響がPRを作る手順1つ。別選択の箇所も現に1つだけでOR不成立	段1で(A)不成立・Issue は値域外で(B)も不成立。段2で条件1〜3いずれも不該当となり0点確定	手順記載の有無を機械的に検出する検査が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入),MEMORY.md(自動注入)	7a5d93d	1a59a13
CASE-07	2	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみで3本未満。非本数条件も不成立	影響がPRを作る手順1つ。別選択の箇所も現に1つでOR不成立	段1で(B)だが採用理由が当該文書に無く（Issue は値域外）不成立。段2の同居判定で0点確定	手順記載の有無を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-08	1	0	0	1	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみで本数条件を満たさず、非本数条件にも当たらない	影響がレビュー応答の手順1つ。別選択の箇所も現に1つだけでOR不成立	段1で(A)(B)とも値域外。段2で却下理由「履歴に残らず経緯を辿れない」が採用理由と別に要るため条件1該当で1点	応答粒度を機械的に検出する検査が現に無くまとめて返しても止まらない	プロンプトファイル,adr-scoping.md	7a5d93d	1a59a13
CASE-08	2	0	0	1	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみで3本未満。非本数条件のいずれにも当たらない	影響が手順1つ。別選択の箇所も現に1つだけ。従う作業者の数は列挙単位でない	段2の同居判定で確定。却下理由が採用理由と別に要るため条件1該当で1点	応答粒度を機械的に検出する検査が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-09	1	0	1	0	1	ADR化しない/共有規約文書	直す必要のあるファイルが無く0本。非本数条件のORも不成立	影響が2スキル定義で2つ以上。別のまとめ方を選びうる箇所も現に同2つでORも成立	段1で値域(A)(B)いずれも満たさず段2へ。却下2案の却下理由が採用理由と同一で条件1不該当、条件2・3も不該当で0点	違反を機械的に検出する検査が無くまとめて渡しても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-09	2	0	1	0	1	ADR化しない/共有規約文書	直す必要のあるファイルが無く0本＝2本以下。非本数条件もいずれも無い	影響がスキル定義2つ＝2つ以上。別選択の箇所も現に2つありOR条件も満たす	段1で保持先が記憶のみ＝値域外。段2で条件1〜3いずれも非該当となり0点確定	検査が無くまとめて渡しても作業が止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-10	1	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは2本のみ。既存コミットは書き換え不要で数えない。非本数条件のORも不成立	影響がコミットを作る手順1つ。別選択の箇所も現に1つだけでOR不成立	段1で(A)(B)とも値域外。段2で2本への分散は写しを足したたまたまの配置で条件3不該当となり0点確定	末尾行の有無を機械的に検出する検査が現に無く欠けても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-10	2	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは2本のみで3本未満。非本数条件は題材文が否定している	影響がコミット作成手順1つ。別選択の箇所も現に1つだけ	段1で(A)(B)とも不成立。段2で現在の2本は写しによるたまたまの分散として条件3不該当、0点確定	末尾行の有無を検出する検査が現に無く欠けても作業が止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-11	1	0	1	0	1	ADR化しない/共有規約文書	直す必要のあるファイルが無く0本。非本数条件も題材文が明示的に否定	影響が2スキル定義で2つ以上。別のまとめ方を選びうる箇所も現に同2つでOR成立	段1で値域(A)(B)いずれも満たさず段2へ。採用理由が確かめられず条件1・2は非該当、条件3も事実が無く0点確定	違反を機械的に検出する検査が無くまとめて渡しても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-11	2	0	1	0	1	ADR化しない/共有規約文書	直す必要のあるファイルが無く0本。非本数条件のORも成立しない	影響がスキル単位で2つ以上。別選択の箇所も現に同2箇所ありORでも1点	段1で保持先が記憶のみで値域外。段2で採用理由が確かめられず条件1・2は非該当、条件3も非該当で0点確定	違反を機械的に検出する検査が無く作業が止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
