# 検査器のテスト用判定記録（走査順の固定）。6題材それぞれの試行1 を二重に記録してある。
題材ID	試行番号	項目1	項目2	項目3	項目4	行き先	根拠_項目1	根拠_項目2	根拠_項目3	根拠_項目4	参照ファイル一覧	対象文書commit
CASE-A1	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-A1	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-ZZ	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-ZZ	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-M3	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-M3	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-B2	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-B2	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-Q9	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-Q9	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-D4	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
CASE-D4	1	0	0	0	0	ADR化しない/実装・テスト資産・操作手順	直すのは1本	影響は1つ	規範を担う資産が値域に当たる	検出が作業を止める	fixture	0000000
