# 固定題材集合の判定記録。対象文書 plugins/adr/skills/manage-adr/references/adr-scoping.md。実行日 2026-08-15。Issue #703 の走行。
# 走行対象は CASE-25〜CASE-29 の5題材 × 2試行 = 10試行のみ。既存の CASE-01〜24 は 2026-08-15 の別走行（runs/2026-08-15-judgments.tsv、注記3行目が走行範囲を明示）を流用し、本走行では再走行していない。
# 対象文書と題材集合の commit は行ごとに異なりうるため、注記では主張せず 13列目・14列目で持つ。
# 担い手: claude -p --model opus --effort high。題材1件・試行1件につき1起動であり、起動間で判定・記録・他題材の文脈を引き継がせていない。runs/2026-08-15-judgments.tsv の注記4行目と同一の担い手条件に固定している。
# この2試行が測っているのは同一入力に対する判定の再現性であり、隣接題材の文脈効果は測っていない。題材は1件ずつ渡しており、判定側の入力に他の題材は現れない。
# 破棄した試行が3件ある。CASE-25 試行1（1回目。項目1_追跡下ファイル・項目2_最小単位のいずれも、根拠欄で「原文が個々の名前を挙げていない」と自認しながら、契約仕様が義務付ける `原文列挙_N` の代わりに役割を表す自由文を返した）、CASE-26 試行1（1回目。項目2_最小単位で同型の逸脱）、CASE-29 試行2（1回目。項目1_追跡下ファイルで同型の逸脱）。いずれも adr-judgment-contract.md の「原文が件数だけを示し、個々の名前を列挙していない場合…`原文列挙_N`…を用いる」への違反であり、返却形式の契約違反として無効化し、同一担い手・同一入力でやり直した返却を本ファイルへ載せている（README §7 の破棄・やり直し規定に従う。§7.1 の自動注入の免除対象ではない）。
題材ID	試行番号	項目1	項目2	項目3	項目4	行き先	根拠_項目1	根拠_項目2	根拠_項目3	根拠_項目4	参照ファイル一覧	対象文書commit	題材集合commit
CASE-25	1	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ、他4種不成立	影響先はスキル定義1件のみ	保持先は共有規約(B)、採用理由あり成立	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-25	2	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ、他4種不成立	影響先はスキル定義1件のみ	保持先は共有規約(B)、採用理由あり成立	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-26	1	0	1	1	1	ADR化する	直すのは共有規約+再掲文書の2本(ADR本体・索引は除外)、4種とも不成立	影響先はスキル定義2件	保持先なし、条件1成立(却下理由が採用理由から導けない)	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-26	2	0	1	1	1	ADR化する	直すのは共有規約+再掲文書の2本(ADR本体・索引は除外)、4種とも不成立	影響先はスキル定義2件	保持先なし、条件1成立(却下理由が採用理由から導けない)	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-27	1	-	-	-	-	ADR化しない/共有規約文書	反転で矛盾するのは共有規約ファイル1本のみ	適用先はスキル定義4件	保持先は共有規約(B)、採用理由あり成立	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-27	2	-	-	-	-	ADR化しない/共有規約文書	反転で矛盾するのは共有規約ファイル1本のみ	適用先はスキル定義4件	保持先は共有規約(B)、採用理由あり成立	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-28	1	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約+再掲文書の2本、蓄積データ移行のみ真	適用先は別スクリプト2件	保持先は共有規約(B)、採用理由あり成立	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-28	2	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約+再掲文書の2本、蓄積データ移行のみ真	適用先は別スクリプト2件	保持先は共有規約(B)、採用理由あり成立	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-29	1	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約1本+ADR2本の計3件	適用先は成果物種別1件(ADR文書)	保持先は共有規約(B)、採用理由あり成立	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-29	2	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約1本+ADR2本の計3件	適用先は成果物種別1件(ADR文書)	保持先は共有規約(B)、採用理由あり成立	検査なし	adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
