# 固定題材集合の判定記録。対象文書 plugins/adr/skills/manage-adr/references/adr-scoping.md。実行日 2026-08-15。Issue #721 AC6 の走行。
# 対象文書と題材集合の commit は行ごとに異なりうるため、注記では主張せず 13列目・14列目で持つ。本走行では全48行が同一の値である。
# 走行対象は CASE-01〜CASE-24 の24題材 × 2試行 = 48試行。CASE-25〜29 は本走行の対象外であり、未実測境界の取得は #703 が担う。
# 担い手: claude -p --model opus --effort high。実効モデルは各起動の modelUsage で claude-opus-5。題材1件・試行1件につき1起動であり、起動間で判定・記録・他題材の文脈を引き継がせていない。
# この2試行が測っているのは同一入力に対する判定の再現性であり、隣接題材の文脈効果は測っていない。題材は1件ずつ渡しており、判定側の入力に他の題材は現れない。
# 2026-07-29 の走行は担い手の model / effort を記録に残していない。本走行との間で担い手が同一である保証は無く、2つの走行の帰結の差には対象文書の改訂と担い手の差の両方が乗りうる。
# 判定側が能動的に開いたと申告した入力は、adr-scoping-cases.sh prompt が組み立てたプロンプトファイル・対象文書・対象文書が名指しする adr-judgment-contract.md の3種のみであり、参照禁止対象の申告は0件である。ただし5件はプロンプトファイル自身を申告から落としており、参照ファイル一覧列もその申告のとおりに写している。
# CLAUDE.md を挙げた申告は0件だが、実行基盤が起動時に自動注入するため、申告が無いことは注入が無かったことの証拠にならない。この逸脱は判定側の操作ではないため破棄していない（README §7.1）。
# 破棄した試行が2件ある。CASE-02 試行1（1回目。項目2_最小単位 を配列でなく文字列で返し、項目1_追跡下ファイル に原文に無い placeholder を置いた）と CASE-04 試行1（1回目。項目4_阻止状態・複数作業者・複数箇所 の3キーを落とした）。いずれも返却形式の契約違反であり、同一担い手・同一入力でやり直した返却を本ファイルへ載せている。
# 項目1〜4 と行き先は判定側に申告させていない。返却の実測事実 JSON（2026-08-15-returns/）へ derive を掛け、配布物内の閾値設定から導出した値である。必要条件が不成立の行は点数を数えないため 項目1〜4 を不問記号 - とし、行き先には一般則の3分岐の複合値を入れている。
# 根拠_項目N 列・参照ファイル一覧列は、判定側の返却を圧縮・写像した派生物である。返却全文は 2026-08-15-raw-returns.md が保持しており、符号化の妥当性を原文へ突き合わせて確かめられる。
# 行き先列は4値の語彙で持つ。derive は必要条件が成立する側の行き先を接頭辞なしの裸値で返すため、記録側で ADR化しない/ を前置して写像した（不成立側は derive が前置済み）。裸値のまま載せると期待帰結との突き合わせが語彙の不一致で全件差になる。
# 走行対象24題材だけを持つ題材集合の複製に対して report を掛けた（README §3 手順7。複製は commit していない）。カバレッジは 24/24、セル単位の試行間一致は 39/40（97.5%）、行き先の一致は 24/24。案A（A-02の一般則側）を期待値へ反映した再集計では期待帰結との差は3件である。
# 必要条件の成否は24題材すべてで試行間一致し、かつ expectations.tsv の 期待_必要条件 と 24/24 一致した。返却48件の 必要条件_成立 はすべて boolean であり、当時未施行 の混入は無い。
# 各項目の1点率（必要条件が成立する10題材が分母）は 試行1 が 項目1 10.0% / 項目2 40.0% / 項目3 30.0% / 項目4 100.0%、試行2 が 項目1 10.0% / 項目2 30.0% / 項目3 30.0% / 項目4 100.0%。項目4 は両試行とも該当率100%であり、安定しているが判定を分けていない（README §9 の「安定しているが無情報」に当たる）。標本が10題材である以上、κ も一致率も単独では読めない。
#
# 案Aの反映前に観測したA-02由来の差: CASE-02 試行1・2 行き先／CASE-14 試行1・2 行き先／CASE-24 試行1・2 行き先。いずれも判定側は一般則の3分岐を返し、期待値側の命名規約例外の暫定読みとの差として記録した。案Aで期待値を一般則側へ変更し、4行（CASE-02/14/24の行き先）は解消した。
# 案A反映後の差の内訳: CASE-02 試行2 項目2／CASE-21 試行1・2 行き先。判定はCASE-21を含む題材で行き先が試行間一致しており、CASE-02の項目2だけが試行間でも割れている。
# CASE-21（期待 ADR化しない/実装・テスト資産・操作手順 ／ 判定 ADR化しない/PR説明）— 規範側の一意性の欠陥。expectations.tsv の備考が「143行の但し書きが名指しするのは『検査が警告どまりで阻止しない』であって『検査が皆無』を明示しないため第1分岐の成否が二読みになる」と1名の導出者の報告を記録しており、本走行はその二読みの他方へ倒れた。第1分岐が「強制する資産が在ること」を問うのか「強制が現に動いていること」を問うのかが本文から一意に決まらない。
# CASE-02 試行2 項目2（期待 1 ／ 判定 0）— 題材文の記述密度の不足。同一題材の試行1 は最小単位数を2、試行2 は0 と数えており、判定側の間で最小単位の数え方が割れた。48試行の中で試行間の点数が割れた唯一の箇所である。
#
# 導出器の側の限界を1点記す。返却の実測事実は命名規約の類型（構造的／書式的）を表すキーを持たないため、derive は146行の例外を入力として受け取れず、行き先を常に一般則の3分岐から算出する。命名規約節の例外を織り込んだ期待値は、現行の導出経路では原理的に到達できない。
# 返却48件のうち35件が、項目1_追跡下ファイル または 項目2_最小単位 の配列へ 原文列挙_N の形の placeholder を置いている。題材文が件数だけを述べて資産名を挙げていない場合に、契約仕様の「配列長と件数の一致」を満たすための穴埋めとして現れている。件数そのものは題材文の事実であり点数の導出に影響しないが、これらの行の配列の中身は実測事実ではない。
#
# 走行後の期待値層の改訂による差の変化。上記の差9件は、走行時点の expectations.tsv に対する突き合わせの結果である。走行後に A-02（命名規約節の射程の二読み）の暫定の読みを一般則側へ倒す案Aが採られ（commit 79a6861、追跡は #749）、CASE-02 / CASE-14 / CASE-24 の 期待_行き先 が判定と一致した。同じ判定記録に対する突き合わせは差3件（CASE-02 試行2 の 項目2、CASE-21 の行き先2行）へ縮んでいる。
# 判定記録そのものは改訂の前後で変わらない。差9件の内訳と帰属を上に残してあるのは、A-02 の二読みが判定を動かすことを本走行が検出した事実の記録であり、案Aの採用でその検出が無かったことにはならないためである。
# 案Aの採用後も残る差3件のうち、CASE-21 の行き先2行は A-03（#718）、CASE-02 試行2 の 項目2 は題材文の記述密度の不足（#624 へ申し送り）であり、いずれも A-02 とは別原因である。
題材ID	試行番号	項目1	項目2	項目3	項目4	行き先	根拠_項目1	根拠_項目2	根拠_項目3	根拠_項目4	参照ファイル一覧	対象文書commit	題材集合commit
CASE-01	1	-	-	-	-	ADR化しない/実装・テスト資産・操作手順	直す5本(規約文書含む)、他4種いずれも不成立	影響は検査スクリプト・フック設定・規約文書の3単位	保持先は値域A(実装・fixture・フック)で成立、条件評価対象外	lintが違反検出しコミット拒否、現に阻止	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-01	2	-	-	-	-	ADR化しない/実装・テスト資産・操作手順	直す5本を列挙、他4種いずれも不成立	影響は検査スクリプト・フック設定・規約文書の3単位	保持先は値域A(実装・fixture・フック)で成立、条件は非該当	lintが違反検出しコミット拒否、現に阻止	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-02	1	0	1	0	1	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ、他4種不成立	全モジュール一様適用、下限2件のみ記録	保持先は共有規約(B)、採用理由あり成立	formatter未実装、検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-02	2	0	0	0	1	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ、他4種不成立	最小単位の列挙・件数不明、同点処理で0件	保持先は共有規約(B)、採用理由本文に併記され成立	formatter未実装、検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-03	1	0	1	0	1	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ、他4種不成立	全成果物種別(3種)へ一様適用	散文のみで採用理由なく保持先なし、条件1-3不成立	言語検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-03	2	0	1	0	1	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ、他4種不成立	全成果物種別(3種)へ一様適用	散文のみで採用理由なく保持先なし、条件1-3不成立	言語検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-04	1	1	1	1	1	ADR化する	直すのは規約ファイル1本と実装2本の計3本	適用先はライブラリ呼出の実装2モジュール	採用理由確認可、却下理由が候補ごとに異なり条件1成立	検査なし、複数作業者・複数箇所は真	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-04	2	1	1	1	1	ADR化する	直すのは規約ファイル1本と実装2本の計3本	適用先はライブラリ呼出の実装2モジュール	採用理由確認可、却下理由が候補ごとに異なり条件1成立	別ライブラリ検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-05	1	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約と指示ファイルの2本のみ	適用先は当該スキル定義1件のみ	両文書とも採用理由なく保持先なし、責務分割で条件3成立	埋め込み検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-05	2	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約と指示ファイルの2本のみ	適用先は当該スキル定義1件のみ	採用理由なく保持先なし、条件3は未確定で不成立へ倒す	埋め込み検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-06	1	-	-	-	-	ADR化しない/実装・テスト資産・操作手順	直すのはlintスクリプト1本のみ	適用先も当該スクリプト1件のみ	保持先は値域A(lint実装)で成立、条件評価対象外	検出は現にあるが警告どまり	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-06	2	-	-	-	-	ADR化しない/実装・テスト資産・操作手順	直すのはlintスクリプト1本のみ	適用先も当該スクリプト1件のみ	保持先は値域A(lint実装)で成立、条件評価対象外	検出は現にあるが警告どまり	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-07	1	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ	適用先はPRを作る手順1つ	散文のみで採用理由なく保持先なし、条件1-3不成立	手順記載の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-07	2	-	-	-	-	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ	適用先はPRを作る手順1つ	散文のみで採用理由なく保持先なし、条件1-3不成立	手順記載の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-08	1	0	0	1	1	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ	適用先はレビュー応答を書く手順1つ	採用理由なく保持先なし、却下理由別内容で条件1成立	応答粒度検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-08	2	0	0	1	1	ADR化しない/共有規約文書	直すのは共有規約ファイル1本のみ	適用先はレビュー応答を書く手順1つ	採用理由なく保持先なし、却下理由別内容で条件1成立	応答粒度検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-09	1	0	1	0	1	ADR化しない/共有規約文書	規範記述なく直すファイルは0件	適用先はサブエージェント起動の2スキル	保持先なし、却下理由が採用理由と同一で条件1不成立	一括渡し検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-09	2	0	1	0	1	ADR化しない/共有規約文書	規範記述なく直すファイルは0件	適用先はサブエージェント起動の2スキル	保持先なし、条件3は未確定で不成立へ倒す	一括渡し検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
CASE-10	1	-	-	-	-	ADR化しない/共有規約文書	直すのは指示・規約の2文書、コミットは対象外	適用先はコミットを作る手順1つ	両文書とも採用理由なく保持先なし、条件3も不成立	末尾行検出の検査なし	プロンプトファイル,adr-scoping.md,adr-judgment-contract.md	03a5b79	10fb0f7
